year,day,species,location,c1,c2,c3,festival
2024,1,Spotted Redshank,Dharapur,,23,3,before
2024,1,Temminck's Stint,Dharapur,,,7,before
2024,1,Brown-headed Gull,Dharapur,,,,before
2024,1,Asian Openbill,Dharapur,,,3,before
2024,1,Lesser Adjutant,Dharapur,,,,before
2024,1,Greater Adjutant,Dharapur,,,,before
2024,1,Oriental Darter,Dharapur,1,,1,before
2024,1,Little Cormorant,Dharapur,4,22,8,before
2024,1,Great Cormorant,Dharapur,1,2,2,before
2024,1,Little Egret,Dharapur,1,,,before
2024,1,Indian Pond-Heron,Dharapur,9,2,2,before
2024,1,Eastern Cattle Egret,Dharapur,,32,32,before
2024,1,Great Egret,Dharapur,,,,before
2024,1,Medium Egret,Dharapur,2,,2,before
2024,1,Gray Heron,Dharapur,,,,before
2024,1,Purple Heron,Dharapur,1,2,,before
2024,1,Glossy Ibis,Dharapur,1,7,,before
2024,1,Changeable Hawk-Eagle,Dharapur,,,,before
2024,1,Booted Eagle,Dharapur,,,,before
2024,1,Black Kite,Dharapur,6,,2,before
2024,1,Spotted Owlet,Dharapur,,,1,before
2024,1,Common Kingfisher,Dharapur,,1,,before
2024,1,Stork-billed Kingfisher,Dharapur,,1,,before
2024,1,White-throated Kingfisher,Dharapur,3,,2,before
2024,1,Indochinese Roller,Dharapur,,,,before
2024,1,Lineated Barbet,Dharapur,,,1,before
2024,1,Blue-throated Barbet,Dharapur,,,1,before
2024,1,Fulvous-breasted Woodpecker,Dharapur,,,,before
2024,1,Eurasian Kestrel,Dharapur,,,,before
2024,1,Rose-ringed Parakeet,Dharapur,5,,2,before
2024,1,Black-hooded Oriole,Dharapur,,,,before
2024,1,Black Drongo,Dharapur,1,,1,before
2024,1,Ashy Drongo,Dharapur,,,,before
2024,1,Brown Shrike,Dharapur,,,,before
2024,1,Long-tailed Shrike,Dharapur,,,,before
2024,1,Gray-backed Shrike,Dharapur,,,,before
2024,1,House Crow,Dharapur,6,4,,before
2024,1,Large-billed Crow,Dharapur,2,,,before
2024,1,Bengal Bushlark,Dharapur,,,,before
2024,1,Common Tailorbird,Dharapur,2,,,before
2024,1,Plain Prinia,Dharapur,1,,,before
2024,1,Zitting Cisticola,Dharapur,,,,before
2024,1,Thick-billed Warbler,Dharapur,,,,before
2024,1,Blyth's Reed Warbler,Dharapur,1,,,before
2024,1,Pallas's Grasshopper Warbler,Dharapur,,,,before
2024,1,Striated Grassbird,Dharapur,,,4,before
2024,1,Gray-throated Martin,Dharapur,4,,,before
2024,1,Bank Swallow,Dharapur,19,13,,before
2024,1,Barn Swallow,Dharapur,281,150,187,before
2024,1,Striated Swallow,Dharapur,,,,before
2024,1,Streak-throated Swallow,Dharapur,,,,before
2024,1,Red-vented Bulbul,Dharapur,2,3,,before
2024,1,Dusky Warbler,Dharapur,2,,,before
2024,1,Indian Pied Starling,Dharapur,22,2,15,before
2024,1,Chestnut-tailed Starling,Dharapur,10,3,8,before
2024,1,Common Myna,Dharapur,4,,2,before
2024,1,Bank Myna,Dharapur,,,,before
2024,1,Jungle Myna,Dharapur,5,,,before
2024,1,Great Myna,Dharapur,6,,,before
2024,1,Oriental Magpie-Robin,Dharapur,,,1,before
2024,1,Bluethroat,Dharapur,,2,,before
2024,1,Taiga Flycatcher,Dharapur,,,,before
2024,1,Siberian Stonechat,Dharapur,,1,,before
2024,1,Baya Weaver,Dharapur,,,,before
2024,1,Scaly-breasted Munia,Dharapur,,,6,before
2024,1,House Sparrow,Dharapur,,,,before
2024,1,Gray Wagtail,Dharapur,,,,before
2024,1,Eastern Yellow Wagtail,Dharapur,,2,,before
2024,1,Citrine Wagtail,Dharapur,59,19,110,before
2024,1,White Wagtail,Dharapur,1,1,,before
2024,1,Richard's Pipit,Dharapur,,,,before
2024,1,Paddyfield Pipit,Dharapur,,,4,before
2024,1,Rosy Pipit,Dharapur,,,,before
2024,1,Olive-backed Pipit,Dharapur,1,,6,before
2024,1,Fulvous Whistling-Duck,Jalukbari ,,,13,before
2024,1,Lesser Whistling-Duck,Jalukbari ,16,41,22,before
2024,1,Bar-headed Goose,Jalukbari ,,,,before
2024,1,Graylag Goose,Jalukbari ,31,75,4,before
2024,1,Garganey,Jalukbari ,,,,before
2024,1,Northern Shoveler,Jalukbari ,,,,before
2024,1,Gadwall,Jalukbari ,,,,before
2024,1,Eurasian Wigeon,Jalukbari ,,,,before
2024,1,Northern Pintail,Jalukbari ,,,,before
2024,1,Red-crested Pochard,Jalukbari ,,,,before
2024,1,Common Pochard,Jalukbari ,,,,before
2024,1,Ferruginous Duck,Jalukbari ,,,,before
2024,1,Tufted Duck,Jalukbari ,,,,before
2024,1,duck sp.,Jalukbari ,,,,before
2024,1,Great Crested Grebe,Jalukbari ,,,,before
2024,1,Little Grebe,Jalukbari ,,,,before
2024,1,Spotted Dove,Jalukbari ,2,3,4,before
2024,1,Yellow-footed Green-Pigeon,Jalukbari ,,,,before
2024,1,Greater Coucal,Jalukbari ,,1,,before
2024,1,Plaintive Cuckoo,Jalukbari ,,,,before
2024,1,Common Hawk-Cuckoo,Jalukbari ,,,,before
2024,1,Asian Palm Swift,Jalukbari ,,3,,before
2024,1,Eurasian Moorhen,Jalukbari ,,44,,before
2024,1,Eurasian Coot,Jalukbari ,,,,before
2024,1,Gray-headed Swamphen,Jalukbari ,,24,,before
2024,1,White-breasted Waterhen,Jalukbari ,,1,,before
2024,1,Black-winged Stilt,Jalukbari ,,,,before
2024,1,Little Ringed Plover,Jalukbari ,,,,before
2024,1,Northern Lapwing,Jalukbari ,,,,before
2024,1,Gray-headed Lapwing,Jalukbari ,,20,,before
2024,1,Red-wattled Lapwing,Jalukbari ,,,,before
2024,1,Pheasant-tailed Jacana,Jalukbari ,,,,before
2024,1,Bronze-winged Jacana,Jalukbari ,,3,,before
2024,1,Common Sandpiper,Jalukbari ,,,,before
2024,1,Green Sandpiper,Jalukbari ,,,,before
2024,1,Wood Sandpiper,Jalukbari ,,1,,before
2024,1,Common Redshank,Jalukbari ,,,,before
2024,1,Spotted Redshank,Jalukbari ,,,,before
2024,1,Temminck's Stint,Jalukbari ,,5,,before
2024,1,Brown-headed Gull,Jalukbari ,,,,before
2024,1,Asian Openbill,Jalukbari ,,3,2,before
2024,1,Lesser Adjutant,Jalukbari ,,,,before
2024,1,Greater Adjutant,Jalukbari ,,2,,before
2024,1,Oriental Darter,Jalukbari ,,1,2,before
2024,1,Little Cormorant,Jalukbari ,,8,22,before
2024,1,Great Cormorant,Jalukbari ,,3,4,before
2024,1,Little Egret,Jalukbari ,,,,before
2024,1,Indian Pond-Heron,Jalukbari ,,5,5,before
2024,1,Eastern Cattle Egret,Jalukbari ,,10,9,before
2024,1,Great Egret,Jalukbari ,,,,before
2024,1,Medium Egret,Jalukbari ,,1,,before
2024,1,Gray Heron,Jalukbari ,,,,before
2024,1,Purple Heron,Jalukbari ,,,,before
2024,1,Glossy Ibis,Jalukbari ,,7,4,before
2024,1,Changeable Hawk-Eagle,Jalukbari ,,,,before
2024,1,Booted Eagle,Jalukbari ,,,,before
2024,1,Black Kite,Jalukbari ,,,12,before
2024,1,Spotted Owlet,Jalukbari ,,,,before
2024,1,Common Kingfisher,Jalukbari ,,,,before
2024,1,Stork-billed Kingfisher,Jalukbari ,,,,before
2024,1,White-throated Kingfisher,Jalukbari ,1,1,,before
2024,1,Indochinese Roller,Jalukbari ,,,,before
2024,1,Lineated Barbet,Jalukbari ,,,,before
2024,1,Blue-throated Barbet,Jalukbari ,,,,before
2024,1,Fulvous-breasted Woodpecker,Jalukbari ,1,,,before
2024,1,Eurasian Kestrel,Jalukbari ,,,,before
2024,1,Rose-ringed Parakeet,Jalukbari ,,,,before
2024,1,Black-hooded Oriole,Jalukbari ,,,1,before
2024,1,Black Drongo,Jalukbari ,,,,before
2024,1,Ashy Drongo,Jalukbari ,,,,before
2024,1,Brown Shrike,Jalukbari ,,1,,before
2024,1,Long-tailed Shrike,Jalukbari ,,1,,before
2024,1,Gray-backed Shrike,Jalukbari ,,,,before
2024,1,House Crow,Jalukbari ,,7,,before
2024,1,Large-billed Crow,Jalukbari ,,,,before
2024,1,Bengal Bushlark,Jalukbari ,,2,8,before
2024,1,Common Tailorbird,Jalukbari ,,,,before
2024,1,Plain Prinia,Jalukbari ,6,,,before
2024,1,Zitting Cisticola,Jalukbari ,,2,,before
2024,1,Thick-billed Warbler,Jalukbari ,1,,,before
2024,1,Blyth's Reed Warbler,Jalukbari ,,,,before
2024,1,Pallas's Grasshopper Warbler,Jalukbari ,2,,,before
2024,1,Striated Grassbird,Jalukbari ,4,,,before
2024,1,Gray-throated Martin,Jalukbari ,,,4,before
2024,1,Bank Swallow,Jalukbari ,5,3,15,before
2024,1,Barn Swallow,Jalukbari ,37,69,29,before
2024,1,Striated Swallow,Jalukbari ,,,3,before
2024,1,Streak-throated Swallow,Jalukbari ,,,,before
2024,1,Red-vented Bulbul,Jalukbari ,2,4,,before
2024,1,Dusky Warbler,Jalukbari ,5,,,before
2024,1,Indian Pied Starling,Jalukbari ,,14,,before
2024,1,Chestnut-tailed Starling,Jalukbari ,,5,,before
2024,1,Common Myna,Jalukbari ,,10,,before
2024,1,Bank Myna,Jalukbari ,,,,before
2024,1,Jungle Myna,Jalukbari ,,,,before
2024,1,Great Myna,Jalukbari ,1,9,,before
2024,1,Oriental Magpie-Robin,Jalukbari ,2,2,,before
2024,1,Bluethroat,Jalukbari ,,,,before
2024,1,Taiga Flycatcher,Jalukbari ,,,,before
2024,1,Siberian Stonechat,Jalukbari ,,3,3,before
2024,1,Baya Weaver,Jalukbari ,,,,before
2024,1,Scaly-breasted Munia,Jalukbari ,,,,before
2024,1,House Sparrow,Jalukbari ,,,,before
2024,1,Gray Wagtail,Jalukbari ,,,,before
2024,1,Eastern Yellow Wagtail,Jalukbari ,,,,before
2024,1,Citrine Wagtail,Jalukbari ,,15,13,before
2024,1,White Wagtail,Jalukbari ,3,15,,before
2024,1,Richard's Pipit,Jalukbari ,,1,,before
2024,1,Paddyfield Pipit,Jalukbari ,,3,2,before
2024,1,Rosy Pipit,Jalukbari ,,12,4,before
2024,1,Olive-backed Pipit,Jalukbari ,,,,before
2024,1,Fulvous Whistling-Duck,Boragaon,,,,before
2024,1,Lesser Whistling-Duck,Boragaon,12,30,15,before
2024,1,Bar-headed Goose,Boragaon,,,,before
2024,1,Graylag Goose,Boragaon,5,,,before
2024,1,Garganey,Boragaon,,,,before
2024,1,Northern Shoveler,Boragaon,,,,before
2024,1,Gadwall,Boragaon,,,,before
2024,1,Eurasian Wigeon,Boragaon,,,,before
2024,1,Northern Pintail,Boragaon,,6,,before
2024,1,Red-crested Pochard,Boragaon,,,,before
2024,1,Common Pochard,Boragaon,,,,before
2024,1,Ferruginous Duck,Boragaon,,,,before
2024,1,Tufted Duck,Boragaon,,,,before
2024,1,duck sp.,Boragaon,,,,before
2024,1,Great Crested Grebe,Boragaon,,,,before
2024,1,Little Grebe,Boragaon,,8,,before
2024,1,Spotted Dove,Boragaon,11,5,,before
2024,1,Yellow-footed Green-Pigeon,Boragaon,,,,before
2024,1,Greater Coucal,Boragaon,,,,before
2024,1,Plaintive Cuckoo,Boragaon,,,,before
2024,1,Common Hawk-Cuckoo,Boragaon,,,,before
2024,1,Asian Palm Swift,Boragaon,,,,before
2024,1,Eurasian Moorhen,Boragaon,2,,,before
2024,1,Eurasian Coot,Boragaon,,10,,before
2024,1,Gray-headed Swamphen,Boragaon,27,18,,before
2024,1,White-breasted Waterhen,Boragaon,5,9,,before
2024,1,Black-winged Stilt,Boragaon,,14,,before
2024,1,Little Ringed Plover,Boragaon,,,,before
2024,1,Northern Lapwing,Boragaon,,,,before
2024,1,Gray-headed Lapwing,Boragaon,2,17,,before
2024,1,Red-wattled Lapwing,Boragaon,3,3,,before
2024,1,Pheasant-tailed Jacana,Boragaon,,,,before
2024,1,Bronze-winged Jacana,Boragaon,2,2,,before
2024,1,Common Sandpiper,Boragaon,,3,,before
2024,1,Green Sandpiper,Boragaon,2,2,3,before
2024,1,Wood Sandpiper,Boragaon,,4,1,before
2024,1,Common Redshank,Boragaon,,,,before
2024,1,Spotted Redshank,Boragaon,,,,before
2024,1,Temminck's Stint,Boragaon,,,,before
2024,1,Brown-headed Gull,Boragaon,,,,before
2024,1,Asian Openbill,Boragaon,,,,before
2024,1,Lesser Adjutant,Boragaon,,,,before
2024,1,Greater Adjutant,Boragaon,2,2,,before
2024,1,Oriental Darter,Boragaon,,2,,before
2024,1,Little Cormorant,Boragaon,,46,,before
2024,1,Great Cormorant,Boragaon,,2,,before
2024,1,Little Egret,Boragaon,2,2,5,before
2024,1,Indian Pond-Heron,Boragaon,6,20,,before
2024,1,Eastern Cattle Egret,Boragaon,7,7,5,before
2024,1,Great Egret,Boragaon,2,3,6,before
2024,1,Medium Egret,Boragaon,1,2,10,before
2024,1,Gray Heron,Boragaon,,1,,before
2024,1,Purple Heron,Boragaon,1,2,,before
2024,1,Glossy Ibis,Boragaon,2,11,,before
2024,1,Changeable Hawk-Eagle,Boragaon,,1,,before
2024,1,Booted Eagle,Boragaon,,,,before
2024,1,Black Kite,Boragaon,2,38,30,before
2024,1,Spotted Owlet,Boragaon,,,,before
2024,1,Common Kingfisher,Boragaon,2,1,1,before
2024,1,Stork-billed Kingfisher,Boragaon,,,,before
2024,1,White-throated Kingfisher,Boragaon,2,2,2,before
2024,1,Indochinese Roller,Boragaon,,,,before
2024,1,Lineated Barbet,Boragaon,,,,before
2024,1,Blue-throated Barbet,Boragaon,,,,before
2024,1,Fulvous-breasted Woodpecker,Boragaon,,,,before
2024,1,Eurasian Kestrel,Boragaon,,,,before
2024,1,Rose-ringed Parakeet,Boragaon,2,2,,before
2024,1,Black-hooded Oriole,Boragaon,,,,before
2024,1,Black Drongo,Boragaon,14,14,7,before
2024,1,Ashy Drongo,Boragaon,3,,,before
2024,1,Brown Shrike,Boragaon,1,2,,before
2024,1,Long-tailed Shrike,Boragaon,,,,before
2024,1,Gray-backed Shrike,Boragaon,,2,,before
2024,1,House Crow,Boragaon,10,12,,before
2024,1,Large-billed Crow,Boragaon,,,,before
2024,1,Bengal Bushlark,Boragaon,,,,before
2024,1,Common Tailorbird,Boragaon,2,,2,before
2024,1,Plain Prinia,Boragaon,,2,,before
2024,1,Zitting Cisticola,Boragaon,,,,before
2024,1,Thick-billed Warbler,Boragaon,,,,before
2024,1,Blyth's Reed Warbler,Boragaon,,,,before
2024,1,Pallas's Grasshopper Warbler,Boragaon,,,,before
2024,1,Striated Grassbird,Boragaon,3,,,before
2024,1,Gray-throated Martin,Boragaon,5,70,,before
2024,1,Bank Swallow,Boragaon,,,,before
2024,1,Barn Swallow,Boragaon,200,500,,before
2024,1,Striated Swallow,Boragaon,,,,before
2024,1,Streak-throated Swallow,Boragaon,,,,before
2024,1,Red-vented Bulbul,Boragaon,3,5,,before
2024,1,Dusky Warbler,Boragaon,1,,,before
2024,1,Indian Pied Starling,Boragaon,18,9,9,before
2024,1,Chestnut-tailed Starling,Boragaon,10,8,8,before
2024,1,Common Myna,Boragaon,23,16,6,before
2024,1,Bank Myna,Boragaon,,,,before
2024,1,Jungle Myna,Boragaon,4,7,,before
2024,1,Great Myna,Boragaon,,,,before
2024,1,Oriental Magpie-Robin,Boragaon,2,,,before
2024,1,Bluethroat,Boragaon,,,,before
2024,1,Taiga Flycatcher,Boragaon,2,,,before
2024,1,Siberian Stonechat,Boragaon,,2,,before
2024,1,Baya Weaver,Boragaon,12,,,before
2024,1,Scaly-breasted Munia,Boragaon,,,,before
2024,1,House Sparrow,Boragaon,,,,before
2024,1,Gray Wagtail,Boragaon,,,,before
2024,1,Eastern Yellow Wagtail,Boragaon,,,,before
2024,1,Citrine Wagtail,Boragaon,10,6,,before
2024,1,White Wagtail,Boragaon,9,8,,before
2024,1,Richard's Pipit,Boragaon,,,,before
2024,1,Paddyfield Pipit,Boragaon,,,,before
2024,1,Rosy Pipit,Boragaon,,1,,before
2024,1,Olive-backed Pipit,Boragaon,,,,before
2024,1,Fulvous Whistling-Duck,Pamohi,,,,before
2024,1,Lesser Whistling-Duck,Pamohi,2,16,16,before
2024,1,Bar-headed Goose,Pamohi,,,,before
2024,1,Graylag Goose,Pamohi,,,,before
2024,1,Garganey,Pamohi,,,,before
2024,1,Northern Shoveler,Pamohi,,,,before
2024,1,Gadwall,Pamohi,,,,before
2024,1,Eurasian Wigeon,Pamohi,,,,before
2024,1,Northern Pintail,Pamohi,,,,before
2024,1,Red-crested Pochard,Pamohi,,,,before
2024,1,Common Pochard,Pamohi,,,,before
2024,1,Ferruginous Duck,Pamohi,,,,before
2024,1,Tufted Duck,Pamohi,,,,before
2024,1,duck sp.,Pamohi,,,,before
2024,1,Great Crested Grebe,Pamohi,,,,before
2024,1,Little Grebe,Pamohi,,,,before
2024,1,Spotted Dove,Pamohi,2,0,0,before
2024,1,Yellow-footed Green-Pigeon,Pamohi,,,,before
2024,1,Greater Coucal,Pamohi,,,,before
2024,1,Plaintive Cuckoo,Pamohi,,,,before
2024,1,Common Hawk-Cuckoo,Pamohi,,,,before
2024,1,Asian Palm Swift,Pamohi,,,,before
2024,1,Eurasian Moorhen,Pamohi,,,,before
2024,1,Eurasian Coot,Pamohi,,,,before
2024,1,Gray-headed Swamphen,Pamohi,,,,before
2024,1,White-breasted Waterhen,Pamohi,,,,before
2024,1,Black-winged Stilt,Pamohi,,,,before
2024,1,Little Ringed Plover,Pamohi,,,,before
2024,1,Northern Lapwing,Pamohi,,,,before
2024,1,Gray-headed Lapwing,Pamohi,,,,before
2024,1,Red-wattled Lapwing,Pamohi,,,,before
2024,1,Pheasant-tailed Jacana,Pamohi,,,,before
2024,1,Bronze-winged Jacana,Pamohi,,,,before
2024,1,Common Sandpiper,Pamohi,,,,before
2024,1,Green Sandpiper,Pamohi,,,,before
2024,1,Wood Sandpiper,Pamohi,,,,before
2024,1,Common Redshank,Pamohi,,,,before
2024,1,Spotted Redshank,Pamohi,,,,before
2024,1,Temminck's Stint,Pamohi,,,,before
2024,1,Brown-headed Gull,Pamohi,,,,before
2024,1,Asian Openbill,Pamohi,0,1,0,before
2024,1,Lesser Adjutant,Pamohi,,,,before
2024,1,Greater Adjutant,Pamohi,,,,before
2024,1,Oriental Darter,Pamohi,,,,before
2024,1,Little Cormorant,Pamohi,40,63,250,before
2024,1,Great Cormorant,Pamohi,,,,before
2024,1,Little Egret,Pamohi,2,5,1,before
2024,1,Indian Pond-Heron,Pamohi,6,5,6,before
2024,1,Eastern Cattle Egret,Pamohi,,,,before
2024,1,Great Egret,Pamohi,,,,before
2024,1,Medium Egret,Pamohi,,,,before
2024,1,Gray Heron,Pamohi,,,,before
2024,1,Purple Heron,Pamohi,,,,before
2024,1,Glossy Ibis,Pamohi,1,2,13,before
2024,1,Changeable Hawk-Eagle,Pamohi,,,,before
2024,1,Booted Eagle,Pamohi,,,,before
2024,1,Black Kite,Pamohi,15,10,4,before
2024,1,Spotted Owlet,Pamohi,,,,before
2024,1,Common Kingfisher,Pamohi,1,0,0,before
2024,1,Stork-billed Kingfisher,Pamohi,,,,before
2024,1,White-throated Kingfisher,Pamohi,0,1,1,before
2024,1,Indochinese Roller,Pamohi,,,,before
2024,1,Lineated Barbet,Pamohi,,,,before
2024,1,Blue-throated Barbet,Pamohi,,,,before
2024,1,Fulvous-breasted Woodpecker,Pamohi,,,,before
2024,1,Eurasian Kestrel,Pamohi,,,,before
2024,1,Rose-ringed Parakeet,Pamohi,,,,before
2024,1,Black-hooded Oriole,Pamohi,,,,before
2024,1,Black Drongo,Pamohi,0,1,1,before
2024,1,Ashy Drongo,Pamohi,,,,before
2024,1,Brown Shrike,Pamohi,,,,before
2024,1,Long-tailed Shrike,Pamohi,,,,before
2024,1,Gray-backed Shrike,Pamohi,,,,before
2024,1,House Crow,Pamohi,2,2,2,before
2024,1,Large-billed Crow,Pamohi,,,,before
2024,1,Bengal Bushlark,Pamohi,,,,before
2024,1,Common Tailorbird,Pamohi,1,0,0,before
2024,1,Plain Prinia,Pamohi,,,,before
